Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)]
0.76625,13.3052,16.6157
0.7675,13.3052,16.6157
0.76875,13.3052,16.6157
0.77,13.3052,16.6157
0.77125,13.3052,16.6157
0.7725,13.3052,16.6157
0.77375,13.3052,16.6157
0.775,13.3052,16.6157
0.77625,13.207,16.6157
0.7775,13.207,16.6157
0.77875,13.3052,16.6157
0.78,13.3052,16.6157
0.78125,13.3052,16.6157
0.7825,13.3052,16.6157
0.78375,13.3052,16.6157
0.785,13.3052,16.6157
0.78625,13.207,16.6157
0.7875,13.207,16.6157
0.78875,13.3052,16.6157
0.79,13.3052,16.6157
0.79125,13.3052,16.6157
0.7925,13.3052,16.6157
0.79375,13.3052,16.6157
0.795,13.3052,20.3867
0.79625,13.207,20.3867
0.7975,13.207,20.3867
0.79875,13.3052,20.3867
0.8,13.3052,20.3867
0.80125,13.3052,20.3867
0.80125,13.3052,20.3867
0.80125,13.3052,20.3867
0.8025,13.3052,20.3867
0.80375,13.4034,20.3867
0.805,13.4034,20.3867
0.80625,13.3052,20.3867
0.8075,13.3052,20.3867
0.80875,13.3052,20.3867
0.81,13.3052,20.3867
0.81125,13.4034,20.3867
0.8125,13.4034,20.3867
0.81375,13.5017,20.3867
0.815,13.5017,20.3867
0.81625,13.4034,20.3867
0.8175,13.4034,20.3867
0.81875,13.3052,20.3867
0.82,13.3052,20.3867
0.82125,13.3052,20.3867
0.8225,13.3052,20.3867
0.82375,13.4034,20.3867
0.825,13.4034,20.3867
0.82625,13.4034,20.3867
0.8275,13.4034,20.3867
0.82875,13.3052,20.3867
0.83,13.3052,20.3867
0.83125,13.3052,20.3867
0.8325,13.3052,20.3867
0.83375,13.207,20.3867
0.835,13.207,20.3867
0.83625,13.207,20.3867
0.8375,13.207,20.3867
0.83875,13.207,20.3867
0.84,13.207,20.3867
0.84125,13.3052,20.3867
0.8425,13.3052,20.3867
0.84375,13.4034,20.3867
0.845,13.4034,25.415
0.84625,13.4034,25.415
0.8475,13.4034,25.415
0.84875,13.5017,25.415
0.85,13.5017,25.415
