Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)],
126.827,-0.54522,462.3567073,140.9624108
126.829,-0.54522,462.3567073,140.9624108
126.83,-0.54522,462.3567073,140.9624108
126.831,-0.64345,462.3567073,140.9624108
126.832,-0.64345,462.3567073,140.9624108
126.834,-0.64345,462.3567073,140.9624108
126.835,-0.64345,462.3567073,140.9624108
126.836,-0.64345,462.3567073,140.9624108
126.838,-0.64345,462.3567073,140.9624108
126.839,-0.74168,462.3567073,140.9624108
126.84,-0.74168,462.3567073,140.9624108
126.841,-0.74168,462.3567073,140.9624108
126.842,-0.74168,462.3567073,140.9624108
126.844,-0.74168,462.3567073,140.9624108
126.845,-0.74168,461.9573171,140.8406454
126.846,-0.74168,461.9573171,140.8406454
126.848,-0.74168,461.9573171,140.8406454
126.849,-0.74168,461.9573171,140.8406454
126.85,-0.74168,461.9573171,140.8406454
126.851,-0.83991,461.9573171,140.8406454
126.851,-0.83991,461.9573171,140.8406454
126.851,-0.83991,461.9573171,140.8406454
126.853,-0.83991,461.9573171,140.8406454
126.854,-0.74168,461.9573171,140.8406454
126.855,-0.74168,461.9573171,140.8406454
126.856,-0.83991,461.9573171,140.8406454
126.857,-0.83991,461.9573171,140.8406454
126.859,-0.83991,461.9573171,140.8406454
126.86,-0.83991,461.9573171,140.8406454
126.861,-0.83991,461.9573171,140.8406454
126.863,-0.83991,461.9573171,140.8406454
126.864,-0.83991,461.9573171,140.8406454
126.865,-0.83991,461.9573171,140.8406454
126.866,-0.83991,461.9573171,140.8406454
126.868,-0.83991,461.9573171,140.8406454
126.869,-0.83991,461.9573171,140.8406454
126.87,-0.83991,461.9573171,140.8406454
126.871,-0.93814,461.9573171,140.8406454
126.872,-0.93814,461.9573171,140.8406454
126.874,-0.93814,461.9573171,140.8406454
126.875,-0.93814,461.9573171,140.8406454
126.876,-0.83991,461.9573171,140.8406454
126.878,-0.83991,461.9573171,140.8406454
126.879,-0.93814,461.9573171,140.8406454
126.88,-0.93814,461.9573171,140.8406454
126.881,-0.93814,461.9573171,140.8406454
126.882,-0.93814,461.9573171,140.8406454
126.884,-0.93814,461.9573171,140.8406454
126.885,-0.93814,461.9573171,140.8406454
126.886,-1.03637,461.9573171,140.8406454
126.887,-1.03637,461.9573171,140.8406454
126.889,-0.93814,461.9573171,140.8406454
126.89,-0.93814,461.9573171,140.8406454
126.891,-1.03637,461.9573171,140.8406454
126.893,-1.03637,461.9573171,140.8406454
126.894,-1.03637,461.9573171,140.8406454
126.895,-1.03637,461.5579268,140.7188801
126.896,-1.1346,461.5579268,140.7188801
126.897,-1.1346,461.5579268,140.7188801
126.899,-1.03637,461.5579268,140.7188801
126.9,-1.03637,461.5579268,140.7188801
126.901,-1.03637,461.5579268,140.7188801
126.901,-1.03637,461.5579268,140.7188801
126.901,-1.03637,461.5579268,140.7188801
126.902,-1.03637,461.5579268,140.7188801
126.904,-1.03637,461.5579268,140.7188801
126.905,-1.03637,461.5579268,140.7188801
126.906,-1.03637,461.5579268,140.7188801
126.908,-1.03637,461.5579268,140.7188801
126.909,-1.1346,461.5579268,140.7188801
126.91,-1.1346,461.5579268,140.7188801
126.911,-1.1346,461.5579268,140.7188801
126.912,-1.1346,461.5579268,140.7188801
126.914,-1.1346,461.5579268,140.7188801
126.915,-1.1346,461.5579268,140.7188801
126.916,-1.1346,461.5579268,140.7188801
126.918,-1.1346,461.5579268,140.7188801
126.919,-1.1346,461.5579268,140.7188801
126.92,-1.1346,461.5579268,140.7188801
126.921,-1.23283,461.5579268,140.7188801
126.923,-1.23283,461.5579268,140.7188801
126.924,-1.23283,461.5579268,140.7188801
126.925,-1.23283,461.5579268,140.7188801
126.926,-1.23283,461.5579268,140.7188801
126.927,-1.23283,461.5579268,140.7188801
126.929,-1.1346,461.5579268,140.7188801
126.93,-1.1346,461.5579268,140.7188801
126.931,-1.23283,461.5579268,140.7188801
126.933,-1.23283,461.5579268,140.7188801
126.934,-1.23283,461.5579268,140.7188801
126.935,-1.23283,461.5579268,140.7188801
126.936,-1.23283,461.5579268,140.7188801
126.938,-1.23283,461.5579268,140.7188801
126.939,-1.23283,461.5579268,140.7188801
126.94,-1.23283,461.5579268,140.7188801
126.941,-1.23283,461.5579268,140.7188801
126.942,-1.23283,461.5579268,140.7188801
126.944,-1.23283,461.5579268,140.7188801
126.945,-1.23283,461.1554878,140.5961853
126.946,-1.23283,461.1554878,140.5961853
126.948,-1.23283,461.1554878,140.5961853
126.949,-1.23283,461.1554878,140.5961853
126.95,-1.23283,461.1554878,140.5961853
126.951,-1.23283,461.1554878,140.5961853
126.951,-1.23283,461.1554878,140.5961853
126.951,-1.23283,461.1554878,140.5961853
126.952,-1.23283,461.1554878,140.5961853
126.954,-1.33106,461.1554878,140.5961853
126.955,-1.33106,461.1554878,140.5961853
126.956,-1.33106,461.1554878,140.5961853
126.957,-1.33106,461.1554878,140.5961853
126.959,-1.23283,461.1554878,140.5961853
126.96,-1.23283,461.1554878,140.5961853
126.961,-1.23283,461.1554878,140.5961853
126.963,-1.23283,461.1554878,140.5961853
126.964,-1.23283,461.1554878,140.5961853
126.965,-1.23283,461.1554878,140.5961853
126.966,-1.33106,461.1554878,140.5961853
126.967,-1.33106,461.1554878,140.5961853
126.969,-1.23283,461.1554878,140.5961853
126.97,-1.23283,461.1554878,140.5961853
126.971,-1.23283,461.1554878,140.5961853
126.973,-1.23283,461.1554878,140.5961853
126.974,-1.23283,461.1554878,140.5961853
126.975,-1.23283,461.1554878,140.5961853
126.976,-1.23283,461.1554878,140.5961853
126.978,-1.23283,461.1554878,140.5961853
126.979,-1.23283,461.1554878,140.5961853
126.98,-1.23283,461.1554878,140.5961853
126.981,-1.23283,461.1554878,140.5961853
126.982,-1.23283,461.1554878,140.5961853
126.984,-1.23283,461.1554878,140.5961853
126.985,-1.23283,461.1554878,140.5961853
126.986,-1.23283,461.1554878,140.5961853
126.988,-1.23283,461.1554878,140.5961853
126.989,-1.23283,461.1554878,140.5961853
126.99,-1.23283,461.1554878,140.5961853
126.991,-1.23283,461.1554878,140.5961853
126.993,-1.23283,461.1554878,140.5961853
126.994,-1.23283,461.1554878,140.5961853
126.995,-1.23283,460.3506098,140.3507957
126.996,-1.23283,460.3506098,140.3507957
126.997,-1.23283,460.3506098,140.3507957
126.999,-1.23283,460.3506098,140.3507957
127,-1.23283,460.3506098,140.3507957
127.001,-1.23283,460.3506098,140.3507957
127.001,-1.23283,460.3506098,140.3507957
127.001,-1.23283,460.3506098,140.3507957
127.003,-1.23283,460.3506098,140.3507957
127.004,-1.33106,460.3506098,140.3507957
127.005,-1.33106,460.3506098,140.3507957
127.006,-1.33106,460.3506098,140.3507957
127.007,-1.33106,460.3506098,140.3507957
127.009,-1.33106,460.3506098,140.3507957
127.01,-1.33106,460.3506098,140.3507957
127.011,-1.33106,460.3506098,140.3507957
127.012,-1.33106,460.3506098,140.3507957
127.014,-1.23283,460.3506098,140.3507957
127.015,-1.23283,460.3506098,140.3507957
127.016,-1.33106,460.3506098,140.3507957
127.018,-1.33106,460.3506098,140.3507957
127.019,-1.33106,460.3506098,140.3507957
127.02,-1.33106,460.3506098,140.3507957
127.021,-1.33106,460.3506098,140.3507957
127.022,-1.33106,460.3506098,140.3507957
127.024,-1.33106,460.3506098,140.3507957
127.025,-1.33106,460.3506098,140.3507957
127.026,-1.33106,460.3506098,140.3507957
127.027,-1.33106,460.3506098,140.3507957
127.029,-1.33106,460.3506098,140.3507957
127.03,-1.33106,460.3506098,140.3507957
127.031,-1.23283,460.3506098,140.3507957
127.033,-1.23283,460.3506098,140.3507957
127.034,-1.23283,460.3506098,140.3507957
127.035,-1.23283,460.3506098,140.3507957
127.036,-1.23283,460.3506098,140.3507957
127.037,-1.23283,460.3506098,140.3507957
127.039,-1.1346,460.3506098,140.3507957
127.04,-1.1346,460.3506098,140.3507957
127.041,-1.1346,460.3506098,140.3507957
127.043,-1.1346,460.3506098,140.3507957
127.044,-1.03637,460.3506098,140.3507957
127.045,-1.03637,459.5518293,140.107265
127.046,-1.03637,459.5518293,140.107265
127.048,-1.03637,459.5518293,140.107265
127.049,-1.03637,459.5518293,140.107265
127.05,-1.03637,459.5518293,140.107265
127.051,-1.03637,459.5518293,140.107265
127.051,-1.03637,459.5518293,140.107265
127.051,-1.03637,459.5518293,140.107265
127.052,-1.03637,459.5518293,140.107265
127.054,-1.03637,459.5518293,140.107265
127.055,-1.03637,459.5518293,140.107265
127.056,-1.03637,459.5518293,140.107265
127.058,-1.03637,459.5518293,140.107265
127.059,-0.93814,459.5518293,140.107265
127.06,-0.93814,459.5518293,140.107265
127.061,-0.93814,459.5518293,140.107265
127.062,-0.93814,459.5518293,140.107265
127.064,-0.93814,459.5518293,140.107265
127.065,-0.93814,459.5518293,140.107265
127.066,-0.93814,459.5518293,140.107265
127.067,-0.93814,459.5518293,140.107265
127.069,-0.93814,459.5518293,140.107265
127.07,-0.93814,459.5518293,140.107265
127.071,-0.93814,459.5518293,140.107265
127.073,-0.93814,459.5518293,140.107265
127.074,-0.93814,459.5518293,140.107265
127.075,-0.93814,459.5518293,140.107265
127.076,-0.93814,459.5518293,140.107265
127.077,-0.93814,459.5518293,140.107265
127.079,-0.83991,459.5518293,140.107265
127.08,-0.83991,459.5518293,140.107265
127.081,-0.74168,459.5518293,140.107265
127.082,-0.74168,459.5518293,140.107265
127.084,-0.74168,459.5518293,140.107265
127.085,-0.74168,459.5518293,140.107265
127.086,-0.74168,459.5518293,140.107265
127.088,-0.74168,459.5518293,140.107265
127.089,-0.74168,459.5518293,140.107265
127.09,-0.74168,459.5518293,140.107265
127.091,-0.74168,459.5518293,140.107265
127.092,-0.74168,459.5518293,140.107265
127.094,-0.74168,459.5518293,140.107265
127.095,-0.74168,458.347561,139.7401101
127.096,-0.74168,458.347561,139.7401101
127.098,-0.74168,458.347561,139.7401101
127.099,-0.74168,458.347561,139.7401101
127.1,-0.74168,458.347561,139.7401101
127.101,-0.64345,458.347561,139.7401101
127.101,-0.64345,458.347561,139.7401101
127.101,-0.64345,458.347561,139.7401101
127.103,-0.64345,458.347561,139.7401101
127.104,-0.64345,458.347561,139.7401101
127.105,-0.64345,458.347561,139.7401101
127.106,-0.64345,458.347561,139.7401101
127.107,-0.64345,458.347561,139.7401101
127.109,-0.64345,458.347561,139.7401101
127.11,-0.64345,458.347561,139.7401101
127.111,-0.64345,458.347561,139.7401101
127.113,-0.64345,458.347561,139.7401101
127.114,-0.64345,458.347561,139.7401101
127.115,-0.64345,458.347561,139.7401101
127.116,-0.64345,458.347561,139.7401101
127.118,-0.64345,458.347561,139.7401101
127.119,-0.54522,458.347561,139.7401101
127.12,-0.54522,458.347561,139.7401101
127.121,-0.64345,458.347561,139.7401101
127.122,-0.64345,458.347561,139.7401101
127.124,-0.64345,458.347561,139.7401101
127.125,-0.64345,458.347561,139.7401101
127.126,-0.64345,458.347561,139.7401101
127.128,-0.64345,458.347561,139.7401101
127.129,-0.64345,458.347561,139.7401101
127.13,-0.64345,458.347561,139.7401101
127.131,-0.54522,458.347561,139.7401101
127.132,-0.54522,458.347561,139.7401101
127.134,-0.44699,458.347561,139.7401101
127.135,-0.44699,458.347561,139.7401101
127.136,-0.44699,458.347561,139.7401101
127.137,-0.44699,458.347561,139.7401101
127.139,-0.54522,458.347561,139.7401101
127.14,-0.54522,458.347561,139.7401101
127.141,-0.54522,458.347561,139.7401101
127.143,-0.54522,458.347561,139.7401101
127.144,-0.44699,458.347561,139.7401101
127.145,-0.44699,456.7408537,139.2502603
127.146,-0.44699,456.7408537,139.2502603
127.147,-0.44699,456.7408537,139.2502603
127.149,-0.44699,456.7408537,139.2502603
127.15,-0.44699,456.7408537,139.2502603
127.151,-0.34876,456.7408537,139.2502603
127.151,-0.34876,456.7408537,139.2502603
127.151,-0.34876,456.7408537,139.2502603
127.152,-0.34876,456.7408537,139.2502603
127.154,-0.44699,456.7408537,139.2502603
127.155,-0.44699,456.7408537,139.2502603
127.156,-0.44699,456.7408537,139.2502603
127.158,-0.44699,456.7408537,139.2502603
127.159,-0.54522,456.7408537,139.2502603
127.16,-0.54522,456.7408537,139.2502603
127.161,-0.44699,456.7408537,139.2502603
127.162,-0.44699,456.7408537,139.2502603
127.164,-0.44699,456.7408537,139.2502603
127.165,-0.44699,456.7408537,139.2502603
127.166,-0.44699,456.7408537,139.2502603
127.168,-0.44699,456.7408537,139.2502603
127.169,-0.44699,456.7408537,139.2502603
127.17,-0.44699,456.7408537,139.2502603
127.171,-0.54522,456.7408537,139.2502603
127.173,-0.54522,456.7408537,139.2502603
127.174,-0.44699,456.7408537,139.2502603
127.175,-0.44699,456.7408537,139.2502603
127.176,-0.54522,456.7408537,139.2502603
127.177,-0.54522,456.7408537,139.2502603
127.179,-0.54522,456.7408537,139.2502603
127.18,-0.54522,456.7408537,139.2502603
127.181,-0.64345,456.7408537,139.2502603
127.183,-0.64345,456.7408537,139.2502603
127.184,-0.54522,456.7408537,139.2502603
127.185,-0.54522,456.7408537,139.2502603
127.186,-0.54522,456.7408537,139.2502603
127.188,-0.54522,456.7408537,139.2502603
127.189,-0.54522,456.7408537,139.2502603
127.19,-0.54522,456.7408537,139.2502603
127.191,-0.54522,456.7408537,139.2502603
127.192,-0.54522,456.7408537,139.2502603
127.194,-0.54522,456.7408537,139.2502603
127.195,-0.54522,455.1402439,138.7622695
127.196,-0.54522,455.1402439,138.7622695
127.198,-0.54522,455.1402439,138.7622695
127.199,-0.54522,455.1402439,138.7622695
127.2,-0.54522,455.1402439,138.7622695
127.201,-0.54522,455.1402439,138.7622695
127.201,-0.54522,455.1402439,138.7622695
127.201,-0.54522,455.1402439,138.7622695
127.202,-0.54522,455.1402439,138.7622695
127.204,-0.54522,455.1402439,138.7622695
127.205,-0.54522,455.1402439,138.7622695
127.206,-0.64345,455.1402439,138.7622695
127.207,-0.64345,455.1402439,138.7622695
127.209,-0.74168,455.1402439,138.7622695
127.21,-0.74168,455.1402439,138.7622695
127.211,-0.83991,455.1402439,138.7622695
127.213,-0.83991,455.1402439,138.7622695
127.214,-0.83991,455.1402439,138.7622695
127.215,-0.83991,455.1402439,138.7622695
127.216,-0.83991,455.1402439,138.7622695
127.217,-0.83991,455.1402439,138.7622695
127.219,-0.93814,455.1402439,138.7622695
127.22,-0.93814,455.1402439,138.7622695
